序号,书名 (简中),书名 (繁中),作者 (简中),作者 (繁中),作者 (拼音),年代 (中文),年代 (英文),QID,CTEXTID,Wikidata链接,CTEXT链接
1,古画品录,古畫品錄,谢赫,謝赫,Xie He,南齐,Southern Qi,Q2560529,,https://www.wikidata.org/wiki/Q2560529,https://ctext.org/searchbooks.pl?if=gb&searchu=古画品录+谢赫
2,续画品,續畫品,姚最,姚最,Yao Zui,陈,Chen Dynasty,,,https://www.wikidata.org/w/index.php?search=续画品+姚最&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=续画品+姚最
3,贞观公私画史,貞觀公私畫史,裴孝源,裴孝源,Pei Xiaoyuan,唐,Tang Dynasty,,,https://www.wikidata.org/w/index.php?search=贞观公私画史+裴孝源&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=贞观公私画史+裴孝源
4,历代名画记,歷代名畫記,张彦远,張彥遠,Zhang Yanyuan,唐,Tang Dynasty,Q85540551,,https://www.wikidata.org/wiki/Q85540551,https://ctext.org/searchbooks.pl?if=gb&searchu=历代名画记+张彦远
5,唐朝名画录,唐朝名畫錄,朱景玄,朱景玄,Zhu Jingxuan,唐,Tang Dynasty,,,https://www.wikidata.org/w/index.php?search=唐朝名画录+朱景玄&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=唐朝名画录+朱景玄
6,益州名画录,益州名畫錄,黄休复,黃休復,Huang Xiufu,五代,Five Dynasties,Q85691199,,https://www.wikidata.org/wiki/Q85691199,https://ctext.org/searchbooks.pl?if=gb&searchu=益州名画录+黄休复
7,圣朝名画评,聖朝名畫評,刘道醇,劉道醇,Liu Daochun,北宋,Northern Song,,,https://www.wikidata.org/w/index.php?search=圣朝名画评+刘道醇&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=圣朝名画评+刘道醇
8,图画见闻志,圖畫見聞志,郭若虚,郭若虛,Guo Ruoxu,北宋,Northern Song,Q134862422,,https://www.wikidata.org/wiki/Q134862422,https://ctext.org/searchbooks.pl?if=gb&searchu=图画见闻志+郭若虚
9,画史,畫史,米芾,米芾,Mi Fu,北宋,Northern Song,Q113148728,,https://www.wikidata.org/wiki/Q113148728,https://ctext.org/searchbooks.pl?if=gb&searchu=画史+米芾
10,林泉高致,林泉高致,郭熙,郭熙,Guo Xi,北宋,Northern Song,Q10347712,ctp:ws299372,https://www.wikidata.org/wiki/Q10347712,https://ctext.org/wiki.pl?if=gb&chapter=299372
11,宣和画谱,宣和畫譜,宋徽宗,宋徽宗,Song Huizong,北宋,Northern Song,Q10949874,,https://www.wikidata.org/wiki/Q10949874,https://ctext.org/searchbooks.pl?if=gb&searchu=宣和画谱+宋徽宗
12,画继,畫繼,邓椿,鄧椿,Deng Chun,南宋,Southern Song,Q85499168,,https://www.wikidata.org/wiki/Q85499168,https://ctext.org/searchbooks.pl?if=gb&searchu=画继+邓椿
13,画鉴,畫鑒,汤垕,湯垕,Tang Hou,元,Yuan Dynasty,Q99691175,,https://www.wikidata.org/wiki/Q99691175,https://ctext.org/searchbooks.pl?if=gb&searchu=画鉴+汤垕
14,图绘宝鉴,圖繪寶鑒,夏文彦,夏文彥,Xia Wenyan,元,Yuan Dynasty,Q86239601,,https://www.wikidata.org/wiki/Q86239601,https://ctext.org/searchbooks.pl?if=gb&searchu=图绘宝鉴+夏文彦
15,画禅室随笔,畫禪室隨筆,董其昌,董其昌,Dong Qichang,明,Ming Dynasty,Q89317584,,https://www.wikidata.org/wiki/Q89317584,https://ctext.org/searchbooks.pl?if=gb&searchu=画禅室随笔+董其昌
16,无声诗史,無聲詩史,姜绍书,姜紹書,Jiang Shaoshu,明,Ming Dynasty,,,https://www.wikidata.org/w/index.php?search=无声诗史+姜绍书&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=无声诗史+姜绍书
17,明画录,明畫錄,徐沁,徐沁,Xu Qin,明,Ming Dynasty,Q11088148,,https://www.wikidata.org/wiki/Q11088148,https://ctext.org/searchbooks.pl?if=gb&searchu=明画录+徐沁
18,清河书画舫,清河書畫舫,张丑,張醜,Zhang Chou,明,Ming Dynasty,Q86253758,,https://www.wikidata.org/wiki/Q86253758,https://ctext.org/searchbooks.pl?if=gb&searchu=清河书画舫+张丑
19,真迹日录,真跡日錄,张丑,張醜,Zhang Chou,明,Ming Dynasty,Q137241368,,https://www.wikidata.org/wiki/Q137241368,https://ctext.org/searchbooks.pl?if=gb&searchu=真迹日录+张丑
20,十竹斋书画谱,十竹齋書畫譜,胡正言,胡正言,Hu Zhengyan,明,Ming Dynasty,,,https://www.wikidata.org/w/index.php?search=十竹斋书画谱+胡正言&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=十竹斋书画谱+胡正言
21,读画录,讀畫錄,周亮工,周亮工,Zhou Lianggong,明末,Late Ming,Q120079281,,https://www.wikidata.org/wiki/Q120079281,https://ctext.org/searchbooks.pl?if=gb&searchu=读画录+周亮工
22,苦瓜和尚画语录,苦瓜和尚畫語錄,石涛,石濤,Shitao,清初,Early Qing,Q85471641,,https://www.wikidata.org/wiki/Q85471641,https://ctext.org/searchbooks.pl?if=gb&searchu=苦瓜和尚画语录+石涛
23,庚子销夏记,庚子銷夏記,孙承泽,孫承澤,Sun Chengze,清初,Early Qing,Q99691019,,https://www.wikidata.org/wiki/Q99691019,https://ctext.org/searchbooks.pl?if=gb&searchu=庚子销夏记+孙承泽
24,佩文斋书画谱,佩文齋書畫譜,王原祁 (等),王原祁 (等),Wang Yuanqi (et al.),清,Qing Dynasty,,,https://www.wikidata.org/w/index.php?search=佩文斋书画谱+王原祁&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=佩文斋书画谱+王原祁
25,国朝画征录,國朝畫徵錄,张庚,張庚,Zhang Geng,清,Qing Dynasty,,,https://www.wikidata.org/w/index.php?search=国朝画征录+张庚&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=国朝画征录+张庚
26,国朝画征续录,國朝畫徵續錄,张庚,張庚,Zhang Geng,清,Qing Dynasty,,,https://www.wikidata.org/w/index.php?search=国朝画征续录+张庚&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=国朝画征续录+张庚
27,国朝画征补录,國朝畫徵補錄,刘瑗,劉瑗,Liu Yuan,清,Qing Dynasty,,,https://www.wikidata.org/w/index.php?search=国朝画征补录+刘瑗&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=国朝画征补录+刘瑗
28,大观录,大觀錄,吴升,吳升,Wu Sheng,清,Qing Dynasty,,,https://www.wikidata.org/w/index.php?search=大观录+吴升&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=大观录+吴升
29,石渠宝笈,石渠寶笈,张照 (等),張照 (等),Zhang Zhao (et al.),清,Qing Dynasty,Q117372735,,https://www.wikidata.org/wiki/Q117372735,https://ctext.org/searchbooks.pl?if=gb&searchu=石渠宝笈+张照
30,国朝院画录,國朝院畫錄,胡敬,胡敬,Hu Jing,清,Qing Dynasty,,,https://www.wikidata.org/w/index.php?search=国朝院画录+胡敬&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=国朝院画录+胡敬
31,小山画谱,小山畫譜,邹一桂,鄒一桂,Zou Yigui,清,Qing Dynasty,Q86244261,,https://www.wikidata.org/wiki/Q86244261,https://ctext.org/searchbooks.pl?if=gb&searchu=小山画谱+邹一桂
32,芥子园画传,芥子園畫傳,沈心友,沈心友,Shen Xinyou,清,Qing Dynasty,Q1887250,,https://www.wikidata.org/wiki/Q1887250,https://ctext.org/searchbooks.pl?if=gb&searchu=芥子园画传+沈心友
33,桐阴论画,桐陰論畫,秦祖永,秦祖永,Qin Zuyong,清,Qing Dynasty,,,https://www.wikidata.org/w/index.php?search=桐阴论画+秦祖永&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=桐阴论画+秦祖永
34,历代画史汇传,歷代畫史彙傳,彭蕴灿,彭蘊燦,Peng Yuncan,清,Qing Dynasty,,,https://www.wikidata.org/w/index.php?search=历代画史汇传+彭蕴灿&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=历代画史汇传+彭蕴灿
35,墨林今话,墨林今話,蒋宝龄,蔣寶齡,Jiang Baoling,晚清,Late Qing,Q134855560,,https://www.wikidata.org/wiki/Q134855560,https://ctext.org/searchbooks.pl?if=gb&searchu=墨林今话+蒋宝龄
36,海上墨林,海上墨林,杨逸,楊逸,Yang Yi,民国,Republic of China,,,https://www.wikidata.org/w/index.php?search=海上墨林+杨逸&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=海上墨林+杨逸
37,虚斋名画录,虛齋名畫錄,庞元济,龐元濟,Pang Yuanji,民国,Republic of China,,,https://www.wikidata.org/w/index.php?search=虚斋名画录+庞元济&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=虚斋名画录+庞元济
38,古画微,古畫微,黄宾虹,黃賓虹,Huang Binhong,民国,Republic of China,,,https://www.wikidata.org/w/index.php?search=古画微+黄宾虹&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=古画微+黄宾虹
39,中国绘画史,中國繪畫史,陈师曾,陳師曾,Chen Shizeng,民国,Republic of China,Q121373532,,https://www.wikidata.org/wiki/Q121373532,https://ctext.org/searchbooks.pl?if=gb&searchu=中国绘画史+陈师曾
40,中国画学全史,中國畫學全史,郑午昌,鄭午昌,Zheng Wuchang,民国,Republic of China,,,https://www.wikidata.org/w/index.php?search=中国画学全史+郑午昌&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=中国绘画变迁史纲+傅抱石
41,中国绘画变迁史纲,中國繪畫變遷史綱,傅抱石,傅抱石,Fu Baoshi,民国,Republic of China,,,https://www.wikidata.org/w/index.php?search=中国绘画变迁史纲+傅抱石&language=zh,https://ctext.org/searchbooks.pl?if=gb&searchu=中国绘画变迁史纲+傅抱石
42,疑年录,疑年錄,钱大昕 (等),錢大昕 (等),Qian Daxin (et al.),清/民国,Qing/Republic,Q120412490,,https://www.wikidata.org/wiki/Q120412490,https://ctext.org/searchbooks.pl?if=gb&searchu=疑年录+钱大昕
43,芥子园画谱,芥子園畫譜,作者待核,作者待核,,清,Qing Dynasty,,,https://www.wikidata.org/w/index.php?search=芥子园画谱&language=zh,https://ctext.org/wiki.pl?if=en&res=481626
44,书画彚考,書畫彚考,编者待核,編者待核,,清,Qing Dynasty,Q86244544,,https://www.wikidata.org/wiki/Q86244544,https://ctext.org/wiki.pl?if=en&remap=gb&res=908766
45,画筌,畫筌,作者待核,作者待核,,未知,Unknown,,,https://www.wikidata.org/w/index.php?search=画筌&language=zh,https://ctext.org/wiki.pl?if=en&chapter=326756&remap=gb
46,画谱,畫譜,作者待核,作者待核,,未知,Unknown,Q119392382,,https://www.wikidata.org/wiki/Q119392382,https://ctext.org/wiki.pl?if=gb&remap=gb&res=982229
47,小山画谱·写竹杂记,小山畫譜·寫竹雜記,作者待核,作者待核,,清,Qing Dynasty,,,https://www.wikidata.org/w/index.php?search=小山画谱·写竹杂记&language=zh,https://ctext.org/wiki.pl?chapter=229802&if=gb
48,板桥题画,板橋題畫,作者待核,作者待核,,清,Qing Dynasty,,,https://www.wikidata.org/w/index.php?search=板桥题画&language=zh,https://ctext.org/wiki.pl?chapter=229802&if=gb
49,山南论画,山南論畫,作者待核,作者待核,,清,Qing Dynasty,,,https://www.wikidata.org/w/index.php?search=山南论画&language=zh,https://ctext.org/wiki.pl?chapter=229802&if=gb
