序号,姓名简中,姓名繁中,朝代
1,顾恺之,顧愷之,魏晋南北朝
2,杨子华,楊子華,魏晋南北朝
3,张僧繇,張僧繇,魏晋南北朝
4,陈闳,陳閎,隋唐五代
5,范琼,範瓊,隋唐五代
6,高文进,高文進,隋唐五代
7,顾闳中,顧閎中,隋唐五代
8,贯休,貫休,隋唐五代
9,韩幹,韓幹,隋唐五代
10,韩滉,韓滉,隋唐五代
11,李昪,李昪,隋唐五代
12,李赞华,李贊華,隋唐五代
13,梁令瓒,梁令瓚,隋唐五代
14,卢鸿,盧鴻,隋唐五代
15,卢楞伽,盧楞伽,隋唐五代
16,罗塞翁,羅塞翁,隋唐五代
17,丘文播,丘文播,隋唐五代
18,阮郜,阮郜,隋唐五代
19,石恪,石恪,隋唐五代
20,孙位,孫位,隋唐五代
21,王齐翰,王齊翰,隋唐五代
22,尉迟乙僧,尉遲乙僧,隋唐五代
23,吴道子,吳道子,隋唐五代
24,辛澄,辛澄,隋唐五代
25,阎立本,閻立本,隋唐五代
26,张伯洪,張伯洪,隋唐五代
27,张萱,張萱,隋唐五代
28,赵公佑,趙公佑,隋唐五代
29,赵喦,趙喦,隋唐五代
30,周昉,周昉,隋唐五代
31,周文矩,周文矩,隋唐五代
32,晁补之,晁補之,辽、宋、金
33,陈居中,陳居中,辽、宋、金
34,陈清波,陳清波,辽、宋、金
35,大慧宗杲,大慧宗杲,辽、宋、金
36,法常,法常,辽、宋、金
37,方椿年,方椿年,辽、宋、金
38,宫素然,宮素然,辽、宋、金
39,龚开,龔開,辽、宋、金
40,勾龙爽,勾龍爽,辽、宋、金
41,顾德谦,顧德謙,辽、宋、金
42,胡瓌,胡瓌,辽、宋、金
43,胡虔,胡虔,辽、宋、金
44,胡直夫,胡直夫,辽、宋、金
45,金大受,金大受,辽、宋、金
46,李公麟,李公麟,辽、宋、金
47,李嵩,李嵩,辽、宋、金
48,李唐,李唐,辽、宋、金
49,李遹,李遹,辽、宋、金
50,李早,李早,辽、宋、金
51,梁楷,梁楷,辽、宋、金
52,林庭珪,林庭珪,辽、宋、金
53,刘履中,劉履中,辽、宋、金
54,刘松年,劉松年,辽、宋、金
55,陆信忠,陸信忠,辽、宋、金
56,陆仲渊,陸仲淵,辽、宋、金
57,马和之,馬和之,辽、宋、金
58,马兴祖,馬興祖,辽、宋、金
59,马远,馬遠,辽、宋、金
60,孟显,孟顯,辽、宋、金
61,牟益,牟益,辽、宋、金
62,乔仲常,喬仲常,辽、宋、金
63,盛师颜,盛師顏,辽、宋、金
64,苏汉臣,蘇漢臣,辽、宋、金
65,汪鸿薰,汪鴻薰,辽、宋、金
66,王辉,王輝,辽、宋、金
67,王居正,王居正,辽、宋、金
68,王利用,王利用,辽、宋、金
69,王诜,王詵,辽、宋、金
70,武宗元,武宗元,辽、宋、金
71,徐崇矩,徐崇矩,辽、宋、金
72,杨世昌,楊世昌,辽、宋、金
73,杨微,楊微,辽、宋、金
74,张敦礼,張敦禮,辽、宋、金
75,张激,張激,辽、宋、金
76,张胜温,張勝溫,辽、宋、金
77,张训礼,張訓禮,辽、宋、金
78,张瑀,張瑀,辽、宋、金
79,张月壶,張月壺,辽、宋、金
80,赵光辅,趙光輔,辽、宋、金
81,赵佶,趙佶,辽、宋、金
82,周季常,周季常,辽、宋、金
83,朱淑贞,朱淑貞,辽、宋、金
84,蔡山,蔡山,元
85,陈仲仁,陳仲仁,元
86,程棨,程棨,元
87,丁野夫,丁野夫,元
88,韩昇,韓昇,元
89,何澄,何澄,元
90,华祖立,華祖立,元
91,可翁,可翁,元
92,李尧夫,李堯夫,元
93,林子奂,林子奐,元
94,刘贯道,劉貫道,元
95,刘敏叔,劉敏叔,元
96,刘元,劉元,元
97,陆仲渊,陸仲淵,元
98,钱选,錢選,元
99,任仁发,任仁發,元
100,任贤佐,任賢佐,元
101,盛懋,盛懋,元
102,王绎,王繹,元
103,王振鹏,王振鵬,元
104,卫九鼎,衛九鼎,元
105,颜辉,顏輝,元
106,因陀罗,因陀羅,元
107,张渥,張渥,元
108,张宇初,張宇初,元
109,张雨,張雨,元
110,赵苍云,趙蒼雲,元
111,赵麟,趙麟,元
112,赵孟頫,趙孟頫,元
113,赵奕,趙奕,元
114,赵雍,趙雍,元
115,周朗,周朗,元
116,朱玉,朱玉,元
117,蔡世新,蔡世新,明
118,曾鲸,曾鯨,明
119,陈洪绶,陳洪綬,明
120,陈槐,陳槐,明
121,陈贤,陳賢,明
122,陈远,陳遠,明
123,程仲坚,程仲堅,明
124,仇英,仇英,明
125,仇珠,仇珠,明
126,崔子忠,崔子忠,明
127,戴进,戴進,明
128,丁云鹏,丁雲鵬,明
129,杜大,杜大,明
130,杜堇,杜堇,明
131,方维仪,方維儀,明
132,冯晓,馮曉,明
133,傅昆,傅昆,明
134,郭纯,郭純,明
135,郭诩,郭詡,明
136,黄彪,黃彪,明
137,计盛,計盛,明
138,姜隐,姜隱,明
139,冷谦,冷謙,明
140,李士达,李士達,明
141,李在,李在,明
142,刘俊,劉俊,明
143,刘仲贤,劉仲賢,明
144,陆青,陸青,明
145,闵齐伋,閔齊伋,明
146,钱贡,錢貢,明
147,钱穀,錢穀,明
148,商喜,商喜,明
149,沈俊,沈俊,明
150,沈周,沈周,明
151,石锐,石銳,明
152,史文,史文,明
153,宋濂,宋濂,明
154,肃贞太后,肅貞太后,明
155,孙珏,孫珏,明
156,唐寅,唐寅,明
157,王文炜,王文煒,明
158,文征明,文徵明,明
159,吴彬,吳彬,明
160,吴伟,吳偉,明
161,吴湘,吳湘,明
162,夏葵,夏葵,明
163,谢环,謝環,明
164,谢时臣,謝時臣,明
165,邢国贤,邢國賢,明
166,许光祚,許光祚,明
167,叶广,葉廣,明
168,尤求,尤求,明
169,张纪,張紀,明
170,张灵,張靈,明
171,张路,張路,明
172,赵淇,趙淇,明
173,赵修禄,趙修祿,明
174,郑重,鄭重,明
175,周颠,周顛,明
176,朱见深,朱見深,明
177,朱侃,朱侃,明
178,曹松年,曹松年,清
179,曾衍东,曾衍東,清
180,陈枚,陳枚,清
181,陈士俊,陳士俊,清
182,陈撰,陳撰,清
183,程式璲,程式璲,清
184,崔鹤,崔鶴,清
185,戴苍,戴蒼,清
186,邓元举,鄧元舉,清
187,丁观鹏,丁觀鵬,清
188,方士庶,方士庶,清
189,费丹旭,費丹旭,清
190,费以耕,費以耕,清
191,冯箕,馮箕,清
192,改琦,改琦,清
193,高其佩,高其佩,清
194,顾洛,顧洛,清
195,赫达资,赫達資,清
196,胡炳,胡炳,清
197,胡锡珪,胡錫珪,清
198,胡章,胡章,清
199,华喦,華喦,清
200,黄慎,黃慎,清
201,江注,江注,清
202,焦秉贞,焦秉貞,清
203,金农,金農,清
204,金廷标,金廷標,清
205,康涛,康濤,清
206,郎世宁,郎世寧,清
207,冷枚,冷枚,清
208,李根,李根,清
209,李世倬,李世倬,清
210,李廷薰,李廷薰,清
211,刘彦冲,劉彥衝,清
212,罗聘,羅聘,清
213,吕焕成,呂煥成,清
214,吕学,呂學,清
215,闵贞,閔貞,清
216,倪田,倪田,清
217,钱慧安,錢慧安,清
218,任薰,任薰,清
219,任颐,任頤,清
220,任预,任預,清
221,上官周,上官周,清
222,沈屺云,沈屺雲,清
223,沈蓉圃,沈蓉圃,清
224,石涛,石濤,清
225,舒浩,舒浩,清
226,苏六鹏,蘇六鵬,清
227,孙璜,孫璜,清
228,王君甫,王君甫,清
229,王兆祥,王兆祥,清
230,王肇基,王肇基,清
231,翁雒,翁雒,清
232,翁溥,翁溥,清
233,吴昌硕,吳昌碩,清
234,吴舫,吳舫,清
235,吴艮,吳艮,清
236,吴桂,吳桂,清
237,谢遂,謝遂,清
238,谢桢,謝楨,清
239,徐灿,徐燦,清
240,徐冈,徐岡,清
241,徐玫,徐玫,清
242,徐廷琨,徐廷琨,清
243,徐扬,徐揚,清
244,徐知常,徐知常,清
245,许良标,許良標,清
246,严宏滋,嚴宏滋,清
247,姚文瀚,姚文瀚,清
248,姚元之,姚元之,清
249,殷奇,殷奇,清
250,俞龄,俞齡,清
251,禹秉舜,禹秉舜,清
252,禹之鼎,禹之鼎,清
253,喻兰,喻蘭,清
254,张伯龙,張伯龍,清
255,张恺,張愷,清
256,张廷彦,張廷彥,清
257,张仲学,張仲學,清
258,仲昭,仲昭,清
259,朱伦瀚,朱倫瀚,清
260,邹其左,鄒其左,清
