编号,资源名称,访问链接,资源类型,管理机构,数据规模,主要覆盖,许可/成本,优先级
1,Dictionary of Art Historians (Duke),https://arthistorians.info/,学者传记库,Duke University,1000+学者传记,全球艺术史学者,CC BY-SA 4.0/免费,1
2,Dizionario Biografico degli Italiani (Treccani),https://www.treccani.it/biografico/,学者传记库,Treccani,"40,000+传记",意大利学者,CC许可/完全免费,1
3,VIAF (Virtual International Authority File),https://viaf.org/,学者规范档,OCLC,数百万人物,全球57+国家,CC许可/免费,1
4,GND (Gemeinsame Normdatei),https://www.dnb.de/gnd,学者规范档,German National Library,数百万档案,德语学者,开放/免费,1
5,Wikidata - 学者与机构条目,https://query.wikidata.org/,知识图谱,Wikimedia,数千万条目,多语言学者,CC0/免费,1
6,Getty Vocabularies - AAT,http://vocab.getty.edu/aat/,艺术术语,Getty Trust,100K+术语,艺术术语国际,开放/免费,1
7,Getty Vocabularies - ULAN,http://vocab.getty.edu/ulan/,人名规范,Getty Trust,100K+艺术家,全球艺术家,开放/免费,1
8,Getty Vocabularies - TGN,http://vocab.getty.edu/tgn/,地名规范,Getty Trust,100K+地点,全球地点,开放/免费,1
9,Nuovo Liruti - Friuli传记数据库(LOD),https://nuovliruti.uniud.it/,地区传记库,University of Udine,"2,000+传记",Friuli地区,CC许可/开放,1
10,Accademia della Crusca学者档案,https://www.accademiadellacrusca.it/,学者档案,Accademia della Crusca,"1,500+成员",文艺复兴,部分开放,1
11,Semantic Scholar Academic Graph API,https://api.semanticscholar.org/,学术论文API,Allen Institute for AI,200M+论文,多学科论文,限速/免费,2
12,OpenAlex API,https://docs.openalex.org/,学术论文API,OurResearch,260M+作品,全球学术,CC0/免费,2
13,CrossRef API,https://api.crossref.org/,学术元数据,CrossRef,数百万DOI,DOI引用,CC0/免费,2
14,JSTOR Data for Research,https://www.jstor.org/dfr/,学术全文,JSTOR Inc.,全文JSTOR,艺术史期刊,订阅/数据导出,2
15,Web of Science API,https://developer.clarivate.com/apis/wos,学术引用索引,Clarivate,引用索引,艺术人文,API订阅,2
16,Scopus API,https://dev.elsevier.com/scopus.html,学术引用索引,Elsevier,引用索引,艺术人文,API订阅,2
17,arXiv.org,https://arxiv.org/,预印本库,Cornell University,200万+预印本,STEM+人文,CC许可/免费,2
18,Google Scholar,https://scholar.google.com/,学术搜索,Google,索引,综合学术,免费,2
19,Unpaywall,https://unpaywall.org/,开放获取,Unpaywall,200万+,开放获取,开放/免费,2
20,PubMed Central,https://www.ncbi.nlm.nih.gov/pmc/,生物医学,NIH,3000万+,生物医学,CC许可/免费,2
21,Wikidata SPARQL查询服务,https://query.wikidata.org/,知识图谱SPARQL,Wikimedia,100M+三元组,知识关系,CC0/免费,3
22,DBpedia SPARQL,https://dbpedia.org/sparql,知识图谱SPARQL,DBpedia Community,5000万+条,百科知识,CC-BY-SA/免费,3
23,RKD Knowledge Graph (Netherlands),https://rkd.triply.cc/,艺术知识图谱,Rijksmuseum,100K+艺术,荷兰艺术,CC许可,3
24,British Museum SPARQL端点,https://collection.britishmuseum.org/sparql,知识库SPARQL,British Museum,RDF知识库,英国艺术,RDF开放,3
