Name,Gender,DOB,POB,DOD,POD,Description,Image,ID,Ancient_Text_Works,Is_Figure_Painter,Figure_Painting_Evidence
劉松老,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45369005,[画继 卷4] 佛掌骨記,Yes,Work '佛掌骨記' found in 画继 卷4
王道真,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45428955,[图画见闻志 卷3] 給孤獨長者買祇陀太子園因緣; 誌公變; 十二面觀音像,Yes,Work '十二面觀音像' found in 图画见闻志 卷3
王兼濟,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45429205,[图画见闻志 卷3] 十太乙像,Yes,Work '十太乙像' found in 图画见闻志 卷3
何霸,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45430272,[图画见闻志 卷4] 瀟湘逢故人; 舶客,Yes,Work '瀟湘逢故人' found in 图画见闻志 卷4; Work '舶客' found in 图画见闻志 卷4
石恪,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45430343,[图画见闻志 卷3] 唐賢像; 五丁開山; 巨靈擘太華; 新羅人角力,Yes,Work '唐賢像' found in 图画见闻志 卷3; Work '新羅人角力' found in 图画见闻志 卷3
武洞清,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45430547,[图画见闻志 卷3] 雜功德; 十一曜; 二十八宿; 十二真人,Yes,Work '十二真人' found in 图画见闻志 卷3
高文進,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45430712,[图画见闻志 卷3] 擎塔天王; 降魔變相,Yes,Work '擎塔天王' found in 图画见闻志 卷3
朱宗翼,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431278,[画继 卷6] 神州圖,Yes,Work '神州圖' found in 画继 卷6
毛文昌,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432143,[图画见闻志 卷3] 江村晚釣; 村童入學; 郊居豐稔,Yes,Work '村童入學' found in 图画见闻志 卷3
尹質,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432274,[图画见闻志 卷3] 藥王像; 孫思邈像,Yes,Work '藥王像' found in 图画见闻志 卷3; Work '孫思邈像' found in 图画见闻志 卷3
王端,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434395,[图画见闻志 卷4] 佛道功德; 四時山水,Yes,Work '佛道功德' found in 图画见闻志 卷4
孫夢卿,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45436209,[图画见闻志 卷3] 博义天王像,Yes,Work '博义天王像' found in 图画见闻志 卷3
葉進成,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45454584,[图画见闻志 卷3] 醉道圖,Yes,Work '醉道圖' found in 图画见闻志 卷3
陳坦,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45614824,[图画见闻志 卷3] 高僧; 村醫; 村學; 田家娶婦; 村落祀神; 移居; 豐社,Yes,Work '高僧' found in 图画见闻志 卷3; Work '村落祀神' found in 图画见闻志 卷3
馮清,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45666495,[图画见闻志 卷4] 道經變相,Yes,Work '道經變相' found in 图画见闻志 卷4
童仁益,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45673011,[图画见闻志 卷3] 青城山丈人觀諸仙; 左右龍虎君; 龍虎君; 漢明帝; 摩騰; 竺法三藏; 首楞嚴二十五觀,Yes,Work '青城山丈人觀諸仙' found in 图画见闻志 卷3
周文矩,男,0917-01-01,南京市,0975-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q835924,[图画见闻志 卷3] 貴戚遊春; 擣衣; 熨帛; 繡女,Yes,Work '繡女' found in 图画见闻志 卷3
武宗元,男,0980-01-01,孟津区,1050-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q6769910,[图画见闻志 卷3] 三十六天帝; 五聖圖; 帝釋梵王; 旃檀瑞像; 佛像; 天王; 九子母,Yes,Work '旃檀瑞像' found in 图画见闻志 卷3; Work '佛像' found in 图画见闻志 卷3; Work '天王' found in 图画见闻志 卷3
崔白,男,1000-01-01,凤阳县,1074-01-01,N/A,宋朝画家,N/A,http://www.wikidata.org/entity/Q709216,[图画见闻志 卷4] 熾盛光; 十一曜; 坐神; 敗荷雪雁; 四時花鳥; 謝安登山; 子猷訪戴,Yes,Work '坐神' found in 图画见闻志 卷4
