Name,Gender,DOB,POB,DOD,POD,Description,Image,ID,CBDB_ID
Q4103205,男,N/A,開封市,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q4103205,
宋迪,男,0,洛陽,0,N/A,N/A,N/A,http://www.wikidata.org/entity/Q10197451,2124
陳居中,男,,,,N/A,N/A,N/A,http://www.wikidata.org/entity/Q15897223,47873
范坦,男,,洛陽,,N/A,N/A,N/A,http://www.wikidata.org/entity/Q15905324,16923
燕肅,男,,益都,1040-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q17002150,4082
高克明,男,,絳州,,N/A,N/A,N/A,http://www.wikidata.org/entity/Q18015067,41982
李安忠,男,,,,N/A,N/A,N/A,http://www.wikidata.org/entity/Q28104548,40612
张敦礼,男,,開封市,,N/A,N/A,N/A,http://www.wikidata.org/entity/Q28415677,47198
赵宗汉,男,,,1109-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q30945636,50697
高述,男,0,丹徒,0,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45357118,922
郭游卿,男,0,河陽,0,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45357226,961
劉忱,男,0,洛陽,0,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45357933,1225
畢良史,男,,上蔡,1150-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45358459,1418
蔡肇,男,,丹陽,1119-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45359053,1648
王利用,男,0,潼川府,0,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45359580,1849
文勛,男,0,,0,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45359866,1951
李結,男,0,烏程,0,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45361621,3482
宋子房,男,0,榮陽,0,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45362541,3806
王鞏,男,,莘縣,0,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45365253,7084
