Name,Gender,DOB,POB,DOD,POD,Description,Image,ID
Q4103205,男,N/A,開封市,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q4103205
宋迪,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q10197451
陳居中,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q15897223
范坦,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q15905324
燕肅,男,N/A,N/A,1040-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q17002150
高克明,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q18015067
李安忠,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q28104548
张敦礼,男,N/A,開封市,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q28415677
赵宗汉,男,N/A,N/A,1109-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q30945636
高述,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45357118
郭游卿,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45357226
劉忱,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45357933
畢良史,男,N/A,N/A,1150-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45358459
蔡肇,男,N/A,N/A,1119-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45359053
王利用,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45359580
文勛,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45359866
李結,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45361621
宋子房,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45362541
王鞏,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45365253
張鎡,男,N/A,N/A,1207-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45367565
丘訥,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45368045
劉松老,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45369005
賈公傑,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45372439
林泳,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45375867
尤叔保,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45380115
魯之茂,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45380305
江參,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45380779
彭皋,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45381342
孔去非,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45381430
秦湛,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45381666
蔣長源,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45381907
錢仁熙,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45382270
范正夫,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45383980
吳環,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45386969
賀某,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45388109
趙叔盎,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45388841
宋澥,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45389021
郭道卿,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45392380
李景道,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45392797
李景遊,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45392801
李景孟,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45392805
李時敏,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45394047
李時雍,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45394045
趙與懃,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45394700
劉延世,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45395239
李仲宣,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45395684
邵少微,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45396586
司馬槐,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45397731
楊瓚,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45402817
俞珙,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45403176
